code,question,options
fecha_encuesta, Individuo  -  Fecha,
folio, Individuo  -  Folio,
peso, Individuo  -  Peso,
estatura, Individuo  -  Estatura,
edad, Individuo  -  Edad,
circunferencia_cintura," Individuo  -  Circunferencia de la cintura  En caso de no conocer la circunferencia de tu cintura escribe en el espacio ""no sé""",
sexo, Individuo  -  Sexo,
psi_locus_de_control_alimento_1, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Suelo comer lo que hay en lugar de buscar algo más,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_2, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que es fácil de preparar,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_3, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que puedo preparar en mi casa,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_4, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que esté preparado en el refrigerador,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_5, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo primero que veo en la tienda,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_6, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que hay en mi casa,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_7, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Si tengo algo cerca me lo como,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_8, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que me dé tiempo de preparar,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_9, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que está disponible en la calle,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_10, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que sobre,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_11, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como para pasar el tiempo,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_12, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como mientras mi plato tenga comida,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_13, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Sigo comiendo aunque esté satisfecho,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_14, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Sigo comiendo aunque no tenga hambre,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_15, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que me ofrecen,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_16, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como lo que está cerca,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
psi_locus_de_control_alimento_17, Individuo  - Locus_de_control_alimento: Selecciona el grado en que te describe la afirmacion:  Como porque tengo que comer,A6 = No me describe para nada|A5 = Casi no me describe|A4 = Me describe ocasionalmente|A3 = Me describe frecuentemente|A2 = Me describe totalmente
