code,question,options
fecha_encuesta, Individuo  - fecha_encuesta,
folio, Individuo  - folio,
encuestador, Individuo  - encuestador,
encuestador_otro, Individuo  - encuestador_otro,
pareja, - ¿Tienes pareja actualmente?,A2 = Sí|A3 = No
edad," - Tu pareja,  ¿cúal es su edad actual?",
sobrepeso," - Tu pareja, ¿padece sobrepeso/ obesidad",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
sobrepeso_alternativo," - Tu pareja, ¿padece sobrepeso/ obesidad? Otra opción",
sobrepeso_020," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 0-20 años?",Y = Sí|N = No
sobrepeso_2140," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 21-40 años?",Y = Sí|N = No
sobrepeso_4160," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 41-60 años?",Y = Sí|N = No
sobrepeso_m60," - Tu pareja, ¿padecía sobrepeso/ obesidad  desde sus 60 años en adelante?",Y = Sí|N = No
sobrepeso_otro," - Tu pareja, ¿padecía sobrepeso/ obesidad? Otro rango de edad",
tratamiento," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
tratamiento_alternativo," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad Otra opción",
tx_020," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 0-20 años?",Y = Sí|N = No
tx_2140," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 21-40 años?",Y = Sí|N = No
tx_4160," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 41-60 años?",Y = Sí|N = No
tx_m60," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad desde sus 60 años en adelante?",Y = Sí|N = No
tx_otro," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad Otro rango de edad",
ejercicios," - Tu pareja, ¿hace/ ha hecho ejercicio habitualmente?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
ejercicios_alternativo," - Tu pareja, ¿hace/ ha hecho ejercicio habitualmente? Otra opción",
ejercicios_020," - Tu pareja, ¿hacía ejercicio entre los 0-20 años?",Y = Sí|N = No
ejercicios_2140," - Tu pareja, ¿hacía ejercicio entre los 21-40 años?",Y = Sí|N = No
ejercicios_4160," - Tu pareja, ¿hacía ejercicio entre los 41-60 años?",Y = Sí|N = No
ejercicios_m60," - Tu pareja, ¿hacía ejercicio desde sus 60 años en adelante?",Y = Sí|N = No
ejercicios_otro," - Tu pareja, ¿hacía ejercicio? Otro rango de edad",
fumar," - Tu pareja, ¿fuma/fumaba habitualmente?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
fumar_alternativo," - Tu pareja, ¿fuma/fumaba habitualmente? Otra opción",
fumar_020," - Tu pareja, ¿fumaba habitualmente entre los 0-20 años?",Y = Sí|N = No
fumar_2140," - Tu pareja, ¿fumaba habitualmente entre los 21-40 años?",Y = Sí|N = No
fumar_4160," - Tu pareja, ¿fumaba habitualmente entre los 41-60 años?",Y = Sí|N = No
fumar_m60," - Tu pareja, ¿fumaba habitualmente desde sus 60 años en adelante?",Y = Sí|N = No
