code,question,options
G_fecha_encuesta, Individuo  - G_fecha_encuesta,
G_folio, Individuo  - G_folio,
G_encuestador, Individuo  - G_encuestador,
G_encuestador_otro, Individuo  - G_encuestador_otro,
Pa_pareja, - ¿Tienes pareja actualmente?,A2 = Sí|A3 = No
Pa_edad," - Tu pareja,  ¿cúal es su edad actual?",
Pa_sobrepeso," - Tu pareja, ¿padece sobrepeso/ obesidad",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
Pa_sobrepeso_alternativo," - Tu pareja, ¿padece sobrepeso/ obesidad? Otra opción",
Pa_sobrepeso_020," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 0-20 años?",Y = Sí|N = No
Pa_sobrepeso_2140," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 21-40 años?",Y = Sí|N = No
Pa_sobrepeso_4160," - Tu pareja, ¿padecía sobrepeso/ obesidad entre los 41-60 años?",Y = Sí|N = No
Pa_sobrepeso_m60," - Tu pareja, ¿padecía sobrepeso/ obesidad  desde sus 60 años en adelante?",Y = Sí|N = No
Pa_sobrepeso_otro," - Tu pareja, ¿padecía sobrepeso/ obesidad? Otro rango de edad",
Pa_tratamiento," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
Pa_tratamiento_alternativo," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad Otra opción",
Pa_tx_020," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 0-20 años?",Y = Sí|N = No
Pa_tx_2140," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 21-40 años?",Y = Sí|N = No
Pa_tx_4160," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad entre los 41-60 años?",Y = Sí|N = No
Pa_tx_m60," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad desde sus 60 años en adelante?",Y = Sí|N = No
Pa_tx_otro," - Tu pareja, ¿consultó o recibió tratamiento de un profesional de la salud al respecto? Sobrepeso u obesidad Otro rango de edad",
Pa_ejercicios," - Tu pareja, ¿hace/ ha hecho ejercicio habitualmente?",A2 = Sí|A3 = No|A4 = No sé|A5 = No aplica
Pa_ejercicios_alternativo," - Tu pareja, ¿hace/ ha hecho ejercicio habitualmente? Otra opción",
Pa_ejercicios_020," - Tu pareja, ¿hacía ejercicio entre los 0-20 años?",Y = Sí|N = No
Pa_ejercicios_2140," - Tu pareja, ¿hacía ejercicio entre los 21-40 años?",Y = Sí|N = No
Pa_ejercicios_4160," - Tu pareja, ¿hacía ejercicio entre los 41-60 años?",Y = Sí|N = No
Pa_ejercicios_m60," - Tu pareja, ¿hacía ejercicio desde sus 60 años en adelante?",Y = Sí|N = No
Pa_ejercicios_otro," - Tu pareja, ¿hacía ejercicio? Otro rango de edad",
